Date,Value
2025-01-01,10.993428306022466
2025-01-02,10.073321351527108
2025-01-03,11.994805946185918
2025-01-04,14.094525811665774
2025-01-05,10.928385017484697
2025-01-06,11.27556324935043
2025-01-07,15.248060755314999
2025-01-08,13.968689875077722
2025-01-09,11.837181345612418
2025-01-10,14.201424077189
2025-01-11,12.527249471890105
2025-01-12,12.857759463931242
2025-01-13,14.605380916364386
2025-01-14,10.623990766737379
2025-01-15,11.32642664819258
2025-01-16,13.973778027229983
2025-01-17,13.390930059869476
2025-01-18,16.359248867213143
2025-01-19,14.224570724159177
2025-01-20,13.521365158179751
2025-01-21,19.577905499533102
2025-01-22,16.49077193836624
2025-01-23,17.36798521095969
2025-01-24,14.668738207124825
2025-01-25,16.709297845348452
2025-01-26,18.294089392540805
2025-01-27,16.038627538283436
2025-01-28,19.354416451918087
2025-01-29,17.658038224844844
2025-01-30,18.525975740453042
2025-01-31,18.149622024944854
2025-02-01,23.294769062920803
2025-02-02,19.79379148859148
2025-02-03,17.929232948968387
2025-02-04,21.906818553484225
2025-02-05,18.03023956794995
2025-02-06,21.092905424857857
2025-02-07,16.95208154569655
2025-02-08,18.404234447845553
2025-02-09,21.636414076744895
2025-02-10,22.89457941538056
2025-02-11,21.928186557254733
2025-02-12,21.514796000379434
2025-02-13,21.297366575054532
2025-02-14,19.088860475677418
2025-02-15,20.745416120820874
2025-02-16,21.395927384066646
2025-02-17,24.556490960378547
2025-02-18,23.247516860683533
2025-02-19,19.14528697276924
2025-02-20,23.423746440448898
2025-02-21,22.102830212576084
2025-02-22,21.609862669194623
2025-02-23,24.27116694355125
2025-02-24,25.18742654205961
2025-02-25,25.059225240505214
2025-02-26,21.58321990693408
2025-02-27,22.702109620140476
2025-02-28,24.03597589520531
2025-03-01,25.371643508482894
2025-03-02,22.50366120426276
2025-03-03,23.126671089220068
2025-03-04,21.315999972853355
2025-03-05,21.16182523561701
2025-03-06,25.19993986828933
2025-03-07,26.3032997355561
2025-03-08,23.458219902637026
2025-03-09,25.61642918065972
2025-03-10,24.335681360706793
2025-03-11,22.321364169470243
2025-03-12,24.329968973093894
2025-03-13,26.6754411527506
2025-03-14,23.516763680000448
2025-03-15,26.703854096853885
2025-03-16,18.31858085011067
2025-03-17,25.182987335068113
2025-03-18,23.692251902645836
2025-03-19,22.897242913328316
2025-03-20,23.65426634684188
2025-03-21,19.46974670881392
2025-03-22,22.978600234821283
2025-03-23,24.10441706521686
2025-03-24,26.317686236123595
2025-03-25,22.29679289678604
2025-03-26,21.687781314239732
2025-03-27,22.272960657304225
2025-03-28,25.079526891574506
2025-03-29,23.87928434797033
2025-03-30,22.136401465361708
2025-03-31,24.19794391863332
2025-04-01,23.342663999193253
2025-04-02,25.06477432141478
2025-04-03,21.704489420621798
2025-04-04,22.436775588245258
2025-04-05,22.294034602182002
2025-04-06,20.14026875058376
2025-04-07,23.651729458718748
2025-04-08,23.577173532345952
2025-04-09,23.06448426934006
2025-04-10,22.5881290150407
2025-04-11,20.233685036768144
2025-04-12,22.234556342721497
2025-04-13,22.406349410112192
2025-04-14,21.507873644445077
2025-04-15,22.815425322469235
2025-04-16,23.976779337748045
2025-04-17,26.977028789134383
2025-04-18,23.59526903809217
2025-04-19,23.808318415714012
2025-04-20,23.197240463291433
2025-04-21,19.567469282689228
2025-04-22,23.41697391349542
2025-04-23,23.661699589481014
2025-04-24,28.545336525767723
2025-04-25,23.318238067297877
2025-04-26,24.396766577925177
2025-04-27,23.821664625596874
2025-04-28,21.657943307932886
2025-04-29,26.392032014150097
2025-04-30,25.7282862240995
2025-05-01,25.931525634766537
2025-05-02,22.6627872194669
2025-05-03,27.426350832126587
2025-05-04,21.963390574848997
2025-05-05,26.09428828911129
2025-05-06,29.46212792341183
2025-05-07,23.267947761015552
2025-05-08,24.291379602454473
2025-05-09,25.805362851199533
2025-05-10,24.788293564978165
2025-05-11,22.890161569686057
2025-05-12,26.331865748386726
2025-05-13,24.28033050993661
2025-05-14,27.569196721056837
2025-05-15,25.007032260131712
2025-05-16,30.176322782798817
2025-05-17,25.747124832590547
2025-05-18,26.913180394215725
2025-05-19,29.43438549672355
2025-05-20,25.60191761857201
2025-05-21,28.78097184274688
2025-05-22,31.208707962110445
2025-05-23,25.653636903145394
2025-05-24,29.51769980417954
2025-05-25,29.953503453579675
2025-05-26,31.287987870881974
2025-05-27,27.54615728322051
2025-05-28,27.679780879647772
2025-05-29,31.669930922698864
2025-05-30,31.529881811110442
2025-05-31,31.751060066820102
2025-06-01,32.2612099999487
2025-06-02,30.530354910291038
2025-06-03,32.6806228049357
2025-06-04,33.13135524003171
2025-06-05,31.448744859542174
2025-06-06,36.94413083144115
